id,unit_id,type,role,related_main_id,prompt,options,correct_index,image,audio,video,explanation
9002,1,true_false,preview,9001,"Hello
یعنی «سلام»، درست یا غلط؟",,true,,,,"Hello
یعنی سلام."
9001,1,multiple_choice,main,,"Hello
یعنی چی؟",سلام|لطفاً|ممنون,0,,,,"Hello
یعنی سلام."
9003,1,speech_recognition,exercise,9001,Hello,,,,,,"آن را بگویید:
Hello"
9005,1,type_answer,exercise,9001,«سلام» به انگلیسی چیست؟ تایپ کنید.,Hello,,,,,"Hello
یعنی سلام."
9007,1,true_false,preview,9006,"Good morning
یعنی «صبح بخیر»، درست یا غلط؟",,true,,,,"Good morning
یعنی صبح بخیر."
9006,1,multiple_choice,main,,"Good morning
یعنی چی؟",صبح بخیر|سلام,0,,,,"Good morning
یعنی صبح بخیر."
9008,1,multiple_choice,exercise,9006,کدام گزینه به معنای «صبح بخیر» است؟,Hello|Good morning,1,,,,"Good morning
یعنی صبح بخیر."
9009,1,match_pairs,exercise,9006,هر عبارت را به معنای فارسی آن وصل کنید.,Good morning↔صبح بخیر|Hello↔سلام,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
9010,1,speech_recognition,exercise,9006,Good morning,,,,,,"آن را بگویید:
Good morning"
9011,1,order,exercise,9006,این عبارت را با کلمات آن بچینید.,Good|morning,,,,,"Good morning
از دو کلمه ساخته شده است:
Good + morning."
9013,1,true_false,preview,9012,"How are you?
یعنی «حال شما چطور هست؟»، درست یا غلط؟",,true,,,,"How are you?
یعنی حال شما چطور هست؟."
12996,1,true_false,preview,12997,"I want
یعنی «می‌خواهم»، درست یا غلط؟",,true,,,,"I want
یعنی می‌خواهم."
12997,1,multiple_choice,main,,"I want
یعنی چی؟",می‌خواهم|ببخشید|بله,0,,,,"I want
یعنی می‌خواهم."
12998,1,multiple_choice,exercise,12997,کدام گزینه به معنای «می‌خواهم» است؟,I want|Please|I'm fine,0,,,,"I want
یعنی می‌خواهم."
12999,1,match_pairs,exercise,12997,هر عبارت را به معنای فارسی آن وصل کنید.,I want↔می‌خواهم|I'm tired↔خسته‌ام|Good morning↔صبح بخیر,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
13000,1,speech_recognition,exercise,12997,I want,,,,,,"آن را بگویید:
I want"
13001,1,type_answer,exercise,12997,«می‌خواهم» به انگلیسی چیست؟ تایپ کنید.,I want,,,,,"I want
یعنی می‌خواهم."
13002,1,listening_card,exercise,12997,,select|I want|Please|Yes,0,,course_94.wav,,"عبارتی که شنیدید:
I want
(می‌خواهم)"
9012,1,multiple_choice,main,,"How are you?
یعنی چی",حال شما چطور هست؟|صبح بخیر|سلام,0,,,,"How are you?
یعنی حال شما چطور هست؟."
9014,1,match_pairs,exercise,9012,هر عبارت را به معنای فارسی آن وصل کنید.,How are you?↔حال شما چطور هست؟|Hello↔سلام|Good morning↔صبح بخیر,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
9015,1,speech_recognition,exercise,9012,How are you?,,,,,,"آن را بگویید:
How are you?"
9018,1,true_false,preview,9017,"I'm fine
یعنی «خوبم»، درست یا غلط؟",,true,,,,"I'm fine
یعنی خوبم."
9017,1,multiple_choice,main,,"I'm fine
یعنی چی؟",خوبم|حال شما چطور هست؟|سلام,0,,,,"I'm fine
یعنی خوبم."
9019,1,order,exercise,9017,جمله را به ترتیب درست بچینید.,How are you?|I'm fine,,,,,بعد از این سوال، این پاسخ را می‌دهید.
9020,1,speech_recognition,exercise,9017,How are you? I'm fine,,,,,,"این جمله را با صدای بلند بخوانید:
How are you? I'm fine"
9021,1,match_pairs,exercise,9017,هر عبارت را به معنای فارسی آن وصل کنید.,I'm fine↔خوبم|Hello↔سلام,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
9022,1,order,exercise,9017,این عبارت را با کلمات آن بچینید.,I'm|fine,,,,,"I'm fine
از دو کلمه ساخته شده است:
I'm + fine."
9024,1,true_false,preview,9023,"I'm good
یعنی «حالم خوب است»، درست یا غلط؟",,true,,,,"I'm good
یعنی حالم خوب است."
9023,1,multiple_choice,main,,"I'm good
یعنی چی؟",حالم خوب است|خوبم|صبح بخیر,0,,,,"I'm good هم
یعنی حالم خوب است — نوعی دیگر از گفتن «خوبم»."
9025,1,order,exercise,9023,جمله را به ترتیب درست بچینید.,How are you?|I'm good,,,,,نوعی دیگر از پاسخ دادن به این سوال.
9026,1,match_pairs,exercise,9023,هر عبارت را به معنای فارسی آن وصل کنید.,I'm good↔حالم خوب است|Good morning↔صبح بخیر|Hello↔سلام,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
9027,1,speech_recognition,exercise,9023,I'm good,,,,,,"آن را بگویید:
I'm good"
9028,1,order,exercise,9023,این عبارت را با کلمات آن بچینید.,I'm|good,,,,,"I'm good
از دو کلمه ساخته شده است:
I'm + good."
9030,1,true_false,preview,9029,"I'm tired
یعنی «خسته‌ام»، درست یا غلط؟",,true,,,,"I'm tired
یعنی خسته‌ام."
13003,1,true_false,preview,13004,"a
یعنی «یک»، درست یا غلط؟",,true,,,,"a
یعنی یک."
13004,1,multiple_choice,main,,"a
یعنی چی؟",یک|سلام|می‌خواهم,0,,,,"a
یعنی یک."
13005,1,multiple_choice,exercise,13004,کدام گزینه به معنای «یک» است؟,And you?|a|Excuse me,1,,,,"a
یعنی یک."
13006,1,match_pairs,exercise,13004,هر عبارت را به معنای فارسی آن وصل کنید.,a↔یک|Hello↔سلام|Thank you↔ممنون,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
13007,1,speech_recognition,exercise,13004,a,,,,,,"آن را بگویید:
a"
13008,1,listening_card,exercise,13004,,select|a|Good morning|You're welcome,0,,course_101.wav,,"عبارتی که شنیدید:
a
(یه)"
9029,1,multiple_choice,main,,"I'm tired
یعنی چی؟",خسته‌ام|حالم خوب است|خوبم,0,,,,"I'm tired
یعنی خسته‌ام."
9031,1,order,exercise,9029,جمله را به ترتیب درست بچینید.,How are you?|I'm tired,,,,,یک پاسخ دیگر به این سوال، برای زمانی که خسته هستید.
9032,1,select_blank,exercise,9029,امروز خیلی راه رفتی. How are you? ___,I'm tired|I'm fine|I'm good,0,,,,بعد از این همه راه رفتن، معمولاً خسته هستید.
9033,1,select_blank,exercise,9029,امروز حسابی استراحت کردی. How are you? ___,I'm fine|I'm tired|I'm good,0,,,,بعد از استراحت، معمولاً حال شما خوب است، نه خسته.
9034,1,type_answer,exercise,9029,«خسته‌ام» را به انگلیسی بنویس.,I'm tired,,,,,"I'm tired
یعنی خسته‌ام."
9035,1,match_pairs,exercise,9029,هر عبارت را به معنای فارسی آن وصل کنید.,I'm tired↔خسته‌ام|Hello↔سلام|How are you?↔حال شما چطور هست؟,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
9036,1,order,exercise,9029,این عبارت را با کلمات آن بچینید.,I'm|tired,,,,,"I'm tired
از دو کلمه ساخته شده است:
I'm + tired."
