id,title,description,min_level,section,image,section_image,title_fa,description_fa
1,Sounds & Survival Phrases,"The handful of words you'll use in almost every interaction, plus the English sounds Farsi speakers often trip on.",1,Getting Started,deck1.png,,عبارت‌های ضروری و ابتدایی,چند کلمه‌ی کلیدی که تقریباً در هر مکالمه‌ای بهشون نیاز داری.
2,Introducing Yourself,"Saying your name, where you're from, and why you're visiting.",1,Getting Started,deck2.png,,معرفی کردن خودت,گفتن اسمت، اهل کجا بودنت، و دلیل سفرت.
3,Numbers & Money,"Counting, prices, paying, and tipping.",1,Getting Started,deck3.png,,,
4,Telling Time & Dates,"Clock time, days of the week, and asking when something happens.",1,Getting Started,deck4.png,,,
5,At the Airport,"Check-in, security, immigration, and baggage claim.",1,On the Move,deck5.png,,,
6,Getting Around,"Asking directions, taking a taxi, bus, or metro.",1,On the Move,deck6.png,,,
7,At the Hotel,"Checking in and out, asking for things, and reporting problems.",1,On the Move,deck7.png,,,
8,Ordering Food,"Restaurant and cafe phrases, dietary needs, and paying the bill.",1,Daily Life,deck8.png,,,
9,Shopping,"Asking prices, sizes, trying things on, and haggling politely.",1,Daily Life,deck9.png,,,
10,Small Talk & Politeness,"Weather, compliments, and agreeing or disagreeing politely.",1,Daily Life,deck10.png,,,
11,Asking for Help,"Saying you're lost or confused, and asking people to slow down or repeat.",1,Daily Life,deck11.png,,,
12,Phone & Wifi,"Getting a SIM card, asking for wifi, and basic phone phrases.",1,Staying Connected,deck12.png,,,
13,Emergencies & Health,"Pharmacy, doctor visits, describing pain, and calling for help.",1,Staying Connected,deck13.png,,,
14,Making Plans,"Suggesting something, accepting or declining, and arranging to meet.",1,Staying Connected,deck14.png,,,
15,Common Everyday Verbs in Action,"Want, need, like, and can — used in the real requests you'll actually make.",1,Putting It Together,deck15.png,,,
16,Describing People & Things,"Simple, useful adjectives for people, places, and things.",1,Putting It Together,deck16.png,,,
17,Public Signs & Announcements,"Reading common signs and understanding airport/train announcements.",1,Putting It Together,deck17.png,,,
18,Saying Goodbye & Staying in Touch,"Farewells, exchanging contact info, and thanking someone.",1,Putting It Together,deck18.png,,,
